시,지역명,법정동,단지명,금액_만원,전용면적,층,건축년도,거래년,거래월,거래일,거래일자,거래년월,거래유형,매수자,매도자,지역코드,지번
수원시,수원시 권선구,서둔동,동남(서둔동),28500,49.68,3,1987,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,361
수원시,수원시 권선구,호매실동,호매실경남아너스빌,46500,84.98,19,2011,2026,3,9,2026-03-09,2026-03,중개거래,개인,개인,41113,1388
수원시,수원시 권선구,호매실동,호매실마을13단지,45500,59.68,12,2015,2026,3,9,2026-03-09,2026-03,중개거래,개인,개인,41113,1371
수원시,수원시 권선구,권선동,우남1,36500,59.75,3,2002,2026,3,6,2026-03-06,2026-03,중개거래,개인,개인,41113,1315
수원시,수원시 권선구,금곡동,삼익3,35800,59.34,13,1998,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,79
수원시,수원시 권선구,권선동,삼천리2차,28000,59.955,2,1996,2026,3,2,2026-03-02,2026-03,중개거래,개인,개인,41113,1238
수원시,수원시 권선구,오목천동,청구1차,25000,59.97,16,2000,2026,3,8,2026-03-08,2026-03,중개거래,개인,개인,41113,542
수원시,수원시 권선구,호매실동,한양수자인파크원,72800,97.4287,19,2018,2026,3,8,2026-03-08,2026-03,중개거래,개인,개인,41113,1361
수원시,수원시 권선구,구운동,강남(구운동),47200,84.9,2,1991,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,463
수원시,수원시 권선구,호매실동,호매실마을13단지,42900,59.93,4,2015,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,1371
수원시,수원시 권선구,호매실동,극동스타클래스,65500,84.94,21,2017,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,1352
수원시,수원시 권선구,금곡동,신미주(금곡동),31200,83.99,16,1994,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,262-10
수원시,수원시 권선구,권선동,매탄권선역리버파크,47000,59.81,15,2001,2026,3,6,2026-03-06,2026-03,중개거래,개인,개인,41113,1304
수원시,수원시 권선구,당수동,한라비발디1단지,40000,84.99,5,2004,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,743
수원시,수원시 권선구,권선동,수원아이파크시티9단지,37000,45.05,5,2017,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,1362
수원시,수원시 권선구,당수동,한라비발디1단지,36700,84.99,3,2004,2026,3,6,2026-03-06,2026-03,중개거래,개인,개인,41113,743
수원시,수원시 권선구,금곡동,수원모아미래도센트럴타운1단지,74000,84.9728,10,2017,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,1078
수원시,수원시 권선구,권선동,수원아이파크시티2단지,63500,84.913,9,2012,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,1361
수원시,수원시 권선구,곡반정동,수원하늘채더퍼스트1단지,79000,84.96,14,2022,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,652
수원시,수원시 권선구,고색동,거산2,24500,59.76,10,2000,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,287-4
수원시,수원시 권선구,권선동,수원아이파크시티2단지,68000,84.88,10,2012,2026,3,7,2026-03-07,2026-03,중개거래,개인,개인,41113,1361
수원시,수원시 권선구,금곡동,삼익1,26900,59.4,2,1995,2026,3,6,2026-03-06,2026-03,중개거래,개인,개인,41113,241
수원시,수원시 권선구,금곡동,호반 써밋 수원,82500,84.9843,16,2017,2026,3,2,2026-03-02,2026-03,중개거래,개인,개인,41113,1146
수원시,수원시 권선구,구운동,강남(구운동),53000,84.91,14,1991,2026,3,5,2026-03-05,2026-03,중개거래,개인,개인,41113,463
수원시,수원시 권선구,금곡동,엘지빌리지2,46500,84.42,14,1998,2026,3,6,2026-03-06,2026-03,중개거래,개인,개인,41113,530
수원시,수원시 권선구,곡반정동,수원하늘채더퍼스트1단지,73000,74.92,5,2022,2026,3,5,2026-03-05,2026-03,중개거래,개인,개인,41113,652
수원시,수원시 권선구,금곡동,호매실역서희스타힐스,59500,84.98,10,2011,2026,3,5,2026-03-05,2026-03,중개거래,개인,개인,41113,1081
수원시,수원시 권선구,금곡동,엘지빌리지2,34400,59.997,18,1998,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,530
수원시,수원시 권선구,당수동,삼정그린뷰(당수동),22000,59.93,18,1997,2026,3,4,2026-03-04,2026-03,중개거래,개인,개인,41113,218-1
수원시,수원시 권선구,호매실동,호매실금호어울림에듀포레,53000,72.9161,15,2019,2026,3,5,2026-03-05,2026-03,중개거래,개인,개인,41113,1420
수원시,수원시 권선구,금곡동,일신건영(휴먼빌),31000,60,3,1998,2026,3,2,2026-03-02,2026-03,중개거래,개인,개인,41113,252
수원시,수원시 권선구,권선동,매탄권선역리버파크,38000,49.58,6,2001,2026,3,5,2026-03-05,2026-03,중개거래,개인,개인,41113,1304
수원시,수원시 권선구,권선동,대원신동아,33000,59.88,11,1996,2026,3,5,2026-03-05,2026-03,중개거래,개인,개인,41113,1274
수원시,수원시 권선구,금곡동,호반베르디움더센트럴,81500,84.9843,19,2017,2026,3,4,2026-03-04,2026-03,중개거래,개인,개인,41113,1147
수원시,수원시 권선구,권선동,수원아이파크시티5단지,50700,59.98,2,2015,2026,3,4,2026-03-04,2026-03,중개거래,개인,개인,41113,1355
수원시,수원시 권선구,권선동,수원아이파크시티5단지,52000,59.96,7,2015,2026,3,4,2026-03-04,2026-03,중개거래,개인,개인,41113,1355
수원시,수원시 권선구,곡반정동,수원하늘채더퍼스트2단지,64600,74.88,12,2022,2026,3,4,2026-03-04,2026-03,중개거래,개인,개인,41113,654
수원시,수원시 권선구,권선동,금성,20450,51.57,2,1989,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1044-1
수원시,수원시 권선구,권선동,수원아이파크시티4단지,69000,123.609,2,2012,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1357
수원시,수원시 권선구,세류동,장미,19200,60.84,1,1983,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,530-3
수원시,수원시 권선구,호매실동,호매실마을13단지,47200,59.93,19,2015,2026,3,4,2026-03-04,2026-03,중개거래,개인,개인,41113,1371
수원시,수원시 권선구,금곡동,삼익3,47000,84.97,17,1998,2026,3,4,2026-03-04,2026-03,중개거래,개인,개인,41113,79
수원시,수원시 권선구,금곡동,호매실역서희스타힐스,56500,84.85,6,2011,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1081
수원시,수원시 권선구,권선동,수원아이파크시티5단지,52700,59.96,5,2015,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1355
수원시,수원시 권선구,금곡동,호매실역서희스타힐스,60000,84.85,12,2011,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1081
수원시,수원시 권선구,권선동,신우(권선동),42400,84.93,12,1996,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1263
수원시,수원시 권선구,금곡동,강남(금곡동),40000,84.645,8,1996,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,66
수원시,수원시 권선구,권선동,수원아이파크시티8단지,42000,53.87,15,2017,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1364
수원시,수원시 권선구,권선동,권선삼성,29500,49.14,6,1993,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1185-1
수원시,수원시 권선구,권선동,삼천리1차,30000,61.93,8,1994,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,1186
수원시,수원시 권선구,금곡동,강남(금곡동),28500,59.81,9,1996,2026,3,3,2026-03-03,2026-03,중개거래,개인,개인,41113,66
수원시,수원시 권선구,금곡동,엘지빌리지2,42000,84.42,1,1998,2026,3,2,2026-03-02,2026-03,중개거래,개인,개인,41113,530
수원시,수원시 권선구,권선동,수원아이파크시티7단지,59500,59.88,12,2016,2026,3,2,2026-03-02,2026-03,중개거래,개인,개인,41113,1337
수원시,수원시 권선구,구운동,일월청구,64000,134.8,3,2001,2026,3,2,2026-03-02,2026-03,중개거래,개인,개인,41113,889
수원시,수원시 권선구,입북동,서수원레이크푸르지오2단지,48000,84.948,10,2014,2026,3,2,2026-03-02,2026-03,중개거래,개인,개인,41113,815
